id,family,car,date,count
50,BMW,3 Series,7/14/2015,42
51,Infiniti,J,9/19/2019,37
52,Lexus,LX,1/21/2013,29
53,Chevrolet,Aveo,12/10/2015,85
54,Mazda,Miata MX-5,10/5/2017,57
55,Dodge,Ram 3500,5/1/2019,67
56,Dodge,Viper,4/14/2015,71
57,Dodge,Challenger,12/9/2015,52
58,Mercedes-Benz,E-Class,3/9/2011,21
59,Plymouth,Voyager,1/10/2012,20
60,Honda,Pilot,1/14/2011,49
61,Dodge,Viper,2/11/2011,
62,Chevrolet,Cobalt SS,8/11/2017,86
63,Plymouth,Grand Voyager,8/13/2012,35
64,Ford,Expedition,3/2/2016,
65,Mercury,Mountaineer,2/3/2017,
66,Chevrolet,Corvette,11/29/2017,85
67,Holden,VS Commodore,9/25/2018,29
68,Mazda,B-Series Plus,3/16/2013,32
69,Pontiac,Firebird,5/10/2012,43
70,Audi,4000CS Quattro,11/11/2015,68
71,Audi,A6,2/25/2014,53
72,Subaru,Forester,7/5/2015,83
73,Mitsubishi,Tredia,3/11/2010,45
74,Dodge,Neon,8/26/2019,51
75,Chevrolet,Cobalt,8/28/2018,27
76,Dodge,Ram Van 3500,12/15/2013,
77,Mitsubishi,Eclipse,5/6/2019,29
78,Lotus,Esprit,9/6/2015,20
79,Mercury,Grand Marquis,1/3/2016,45
80,Honda,Odyssey,10/4/2013,58
81,Acura,TL,11/16/2014,83
82,GMC,3500,11/23/2015,51
83,Plymouth,Grand Voyager,8/5/2010,17
84,GMC,Savana 1500,10/12/2011,28
85,Chevrolet,Silverado 3500,1/4/2017,44
86,Volkswagen,Eos,1/19/2018,35
87,Toyota,Previa,3/20/2019,67
88,Chevrolet,Blazer,3/30/2019,78
89,Lincoln,Continental Mark VII,2/16/2011,16
90,Chevrolet,1500,6/2/2014,
91,GMC,2500,4/6/2018,21
92,Lincoln,Blackwood,8/5/2010,100
93,Toyota,Avalon,8/11/2011,29
94,Eagle,Vision,8/30/2015,10
95,Infiniti,I,1/13/2015,
96,Cadillac,CTS,2/5/2019,
97,Infiniti,Q,10/17/2018,63
98,Ford,F-Series,7/17/2011,
99,Suzuki,Aerio,10/1/2011,
100,Lexus,IS,8/21/2014,23
101,Dodge,Dakota Club,10/22/2012,66
102,Ford,GT500,1/31/2016,51
103,Buick,Estate,3/8/2013,89
104,Pontiac,Firebird,9/15/2012,38
105,Mazda,626,2/15/2012,73
106,BMW,M5,9/1/2013,96
107,Audi,Cabriolet,3/28/2011,20
108,Mercedes-Benz,CL-Class,10/10/2014,24
109,Chevrolet,Tahoe,6/10/2015,21
110,Kia,Rio,6/28/2014,
111,BMW,M5,11/4/2014,
112,Ford,Thunderbird,8/7/2016,46
113,Volkswagen,Beetle,1/22/2011,17
114,Chevrolet,2500,7/24/2019,32
115,Acura,Legend,4/12/2016,
116,Chevrolet,Camaro,5/30/2016,32
117,Volvo,C30,7/16/2017,80
118,Mazda,MX-3,12/7/2014,51
119,Toyota,Tacoma Xtra,11/29/2013,86
120,Toyota,TundraMax,11/2/2012,81
121,Toyota,TundraMax,11/25/2018,77
122,Chevrolet,Avalanche 2500,3/16/2010,21
123,Honda,Civic Si,5/14/2014,50
124,Ford,F350,12/20/2019,67
125,Ford,Explorer,12/10/2015,45
126,Nissan,Armada,7/24/2015,95
127,Suzuki,Aerio,6/7/2017,32
128,Toyota,Camry,2/14/2014,74
129,Dodge,Sprinter,3/20/2019,41
130,Mazda,MX-5,7/25/2013,48
131,Nissan,Murano,8/13/2019,15
132,Rolls-Royce,Phantom,4/19/2017,64
133,Nissan,Maxima,3/1/2013,78
134,Chevrolet,Suburban 2500,7/17/2019,77
135,Lexus,IS,2/20/2011,94
136,Mazda,Protege,11/18/2013,94
137,Holden,VS Commodore,3/24/2011,66
138,Subaru,Legacy,4/16/2013,81
139,Mazda,Miata MX-5,3/20/2018,63
140,Mercury,Milan,8/12/2016,17
141,GMC,Suburban 1500,2/19/2013,90
142,Audi,A6,2/16/2015,34
143,Mercedes-Benz,G55 AMG,11/25/2019,18
144,Ford,Aerostar,7/27/2018,84
145,Plymouth,Acclaim,5/18/2010,93
146,BMW,5 Series,2/13/2010,69
147,Saab,9-5,9/10/2012,88
148,Alfa Romeo,164,9/1/2014,81
149,Toyota,Celica,2/28/2012,95
150,Plymouth,Colt,11/7/2019,45
151,BMW,3 Series,6/19/2016,32
152,Volkswagen,Passat,9/2/2014,53
153,Ford,F450,3/7/2014,
154,Chevrolet,Corvette,3/2/2014,23
155,Mazda,Familia,8/29/2010,
156,Cadillac,XLR,2/1/2014,35
157,Toyota,4Runner,10/9/2011,
158,Hyundai,Equus,7/9/2016,44
159,Hyundai,Accent,12/20/2010,78
160,Land Rover,Range Rover,12/3/2014,20
161,Mitsubishi,Lancer,11/17/2011,63
162,Mercedes-Benz,300SD,3/3/2018,76
163,Mercedes-Benz,CLK-Class,6/21/2013,74
164,Toyota,Tacoma,8/12/2010,
165,Ford,Thunderbird,4/15/2010,53
166,Mercury,Tracer,12/18/2019,17
167,Chevrolet,TrailBlazer,5/23/2013,52
168,Dodge,Ram 2500,10/16/2015,64
169,Saab,9000,5/12/2018,69
170,Daewoo,Nubira,4/13/2014,19
171,Audi,A5,3/14/2013,72
172,Lexus,RX Hybrid,9/3/2016,88
173,Chevrolet,Impala,8/7/2013,
174,Isuzu,Ascender,3/21/2014,28
175,Pontiac,Grand Prix,12/19/2010,43
176,Acura,MDX,11/11/2011,56
177,Mercury,Monterey,7/4/2010,47
178,Chevrolet,2500,6/11/2017,39
179,Suzuki,Sidekick,2/21/2017,90
180,GMC,Rally Wagon 1500,12/18/2018,14
181,Kia,Spectra5,9/23/2010,24
182,Mercedes-Benz,SLR McLaren,12/28/2018,97
183,BMW,Z3,7/25/2010,96
184,Chrysler,Sebring,1/31/2013,45
185,Subaru,Justy,6/21/2012,15
186,Audi,S4,4/27/2012,
187,Audi,V8,1/8/2010,81
188,Ford,Focus,8/19/2019,46
189,Honda,Ridgeline,3/2/2011,87
190,Chevrolet,Silverado 3500,2/3/2012,
191,Mercury,Topaz,8/27/2011,52
192,GMC,Savana 1500,2/26/2013,83
193,Volkswagen,Touareg,3/29/2012,51
194,Saab,9-3,5/28/2018,26
195,Toyota,4Runner,11/13/2013,66
196,Nissan,Xterra,1/9/2017,
197,Chevrolet,Express 2500,7/14/2017,30
198,Mitsubishi,Montero Sport,3/13/2011,43
199,Chevrolet,2500,4/14/2010,74
200,Toyota,Tacoma Xtra,10/30/2019,36
201,Mazda,CX-7,11/12/2013,38
202,Mercedes-Benz,600SEL,7/5/2016,
203,Lexus,RX Hybrid,5/28/2019,58
204,Oldsmobile,Silhouette,5/18/2015,13
205,Chrysler,Crossfire,5/7/2010,90
206,Toyota,Tacoma,6/28/2017,
207,GMC,3500,1/12/2016,41
208,Nissan,Altima,6/24/2016,48
209,Dodge,Durango,6/28/2016,58
210,Mercedes-Benz,SLK-Class,2/15/2019,58
211,BMW,3 Series,3/26/2014,15
212,Ford,Laser,1/5/2010,
213,Lotus,Esprit,4/27/2018,20
214,Cadillac,Escalade,4/11/2017,
215,Mazda,Mazda3,3/11/2011,67
216,Toyota,RAV4,3/10/2014,97
217,Volkswagen,Jetta,11/12/2015,55
218,Mazda,B2600,1/2/2015,73
219,Ford,Fusion,10/15/2012,89
220,GMC,Savana 3500,2/11/2015,75
221,Oldsmobile,Aurora,12/21/2017,
222,Morgan,Aero 8,10/30/2011,35
223,Mercury,Cougar,4/14/2016,99
224,Lamborghini,Diablo,1/16/2019,79
225,GMC,3500,2/27/2010,69
226,Plymouth,Neon,7/6/2010,51
227,Volvo,C70,3/1/2014,
228,Pontiac,Grand Prix,3/26/2017,91
229,Lexus,GX,7/30/2016,
230,Acura,SLX,5/27/2012,67
231,Lamborghini,Gallardo,7/17/2011,22
232,Hyundai,Tucson,10/12/2018,36
233,Jaguar,X-Type,3/15/2017,97
234,Hyundai,Accent,9/28/2019,76
235,Lotus,Elise,8/20/2015,15
236,Volkswagen,Touareg,2/29/2016,70
237,Mercedes-Benz,SLR McLaren,5/22/2015,91
238,BMW,7 Series,6/4/2010,59
239,Toyota,Tercel,9/30/2013,66
240,Aston Martin,Rapide,5/8/2015,49
241,Lamborghini,Countach,7/30/2011,57
242,Jeep,Grand Cherokee,10/2/2012,93
243,Nissan,Versa,11/9/2012,90
244,Mitsubishi,i-MiEV,9/26/2010,84
245,Oldsmobile,98,3/18/2017,87
246,Bentley,Continental GTC,1/17/2017,50
247,Chrysler,300,12/1/2018,55
248,Mitsubishi,Outlander,8/23/2019,100
249,Toyota,Camry Hybrid,3/21/2016,79
250,Suzuki,XL-7,10/1/2013,
251,Volkswagen,Jetta,2/6/2010,13
252,Mitsubishi,Pajero,3/22/2010,76
253,Isuzu,Axiom,12/13/2011,
254,Bentley,Arnage,9/19/2015,22
255,Dodge,Durango,11/21/2013,88
256,Toyota,Previa,3/14/2011,47
257,Mercedes-Benz,SL-Class,11/2/2015,72
258,Chevrolet,Camaro,9/21/2019,
259,Mercury,Capri,7/18/2014,43
260,Hyundai,Tiburon,7/17/2012,41
261,Ford,F-Series,7/11/2010,99
262,Lexus,GX,7/3/2016,81
263,Acura,CL,5/25/2018,57
264,Ford,E-Series,9/1/2015,36
265,GMC,Yukon,2/27/2011,96
266,Ford,F-Series,10/16/2014,37
267,Jaguar,XK Series,7/18/2015,78
268,Mazda,RX-8,8/31/2018,51
269,Buick,Century,5/8/2011,76
270,Chevrolet,Corsica,9/3/2012,98
271,Dodge,Dakota Club,8/18/2012,66
272,Volkswagen,Scirocco,12/24/2010,51
273,Mazda,Miata MX-5,10/7/2018,12
274,Subaru,XT,3/25/2017,
275,Lexus,IS F,7/24/2017,73
276,Toyota,Celica,2/27/2013,96
277,GMC,Yukon XL 1500,11/5/2017,20
278,Lincoln,Navigator,7/20/2010,93
279,Toyota,FJ Cruiser,11/30/2010,58
280,Ford,Fairlane,10/22/2014,16
281,Fillmore,Fillmore,1/21/2010,45
282,Volvo,850,8/18/2015,33
283,GMC,Sierra 3500,4/30/2012,70
284,Mercedes-Benz,300SD,2/1/2017,66
285,Oldsmobile,Silhouette,2/17/2012,29
286,Porsche,Boxster,1/9/2012,82
287,Mazda,MPV,3/5/2015,44
288,Plymouth,Breeze,4/20/2017,68
289,Ford,F250,2/21/2017,98
290,Chevrolet,Blazer,5/26/2014,19
291,BMW,5 Series,5/29/2018,54
292,Ford,Econoline E250,1/26/2017,81
293,Pontiac,Firebird,7/31/2015,61
294,Volkswagen,Jetta III,2/20/2018,90
295,Plymouth,Breeze,4/19/2019,28
296,Volkswagen,Passat,6/21/2015,61
297,Oldsmobile,Achieva,10/13/2010,23
298,Chevrolet,Silverado 3500,5/18/2013,
299,Hyundai,Tiburon,1/6/2013,
300,Cadillac,Seville,3/21/2017,64
301,Ford,F450,8/10/2018,23
302,Saturn,Astra,8/26/2016,95
303,Pontiac,Trans Sport,3/17/2015,49
304,Ford,F-Series,5/5/2017,15
305,Lamborghini,Diablo,11/12/2018,93
306,Cadillac,Seville,12/4/2016,84
307,Chrysler,Cirrus,8/13/2013,84
308,GMC,Sierra 3500,8/8/2013,70
309,Subaru,Impreza,1/13/2010,99
310,Hyundai,Tucson,10/15/2018,93
311,GMC,Suburban 2500,11/10/2010,90
312,Honda,S2000,11/9/2010,36
313,Volvo,XC90,11/17/2012,
314,Cadillac,DTS,11/20/2015,52
315,Honda,Civic,9/15/2012,87
316,Mercury,Grand Marquis,12/12/2018,79
317,Hyundai,Elantra,8/19/2016,76
318,Mitsubishi,3000GT,9/11/2013,88
319,Toyota,Paseo,4/16/2018,90
320,Porsche,Boxster,1/23/2018,31
321,Kia,Sportage,4/11/2015,63
322,Ford,Tempo,1/26/2011,10
323,Mercedes-Benz,SLK55 AMG,4/11/2016,20
324,Toyota,Prius,10/9/2014,82
325,Chevrolet,Express 3500,9/13/2016,53
326,Lincoln,Navigator,12/16/2015,57
327,Lotus,Esprit,8/16/2014,11
328,Dodge,Dakota,11/22/2018,45
329,Infiniti,G,11/20/2011,53
330,Porsche,Boxster,9/29/2012,
331,Nissan,Pathfinder,1/8/2012,
332,Acura,SLX,4/3/2017,
333,BMW,745,6/4/2015,99
334,Ford,Festiva,7/3/2017,81
335,Mercury,Lynx,5/23/2016,65
336,Audi,A3,6/3/2013,61
337,Lotus,Exige,3/28/2015,87
338,Dodge,Ram 2500,3/24/2019,74
339,Toyota,Tacoma,2/11/2017,85
340,Mitsubishi,Eclipse,2/19/2013,20
341,Suzuki,SJ,11/28/2015,61
342,Saturn,Ion,2/22/2010,59
343,Chevrolet,G-Series G30,4/13/2016,82
344,Dodge,Ram 1500 Club,6/23/2013,35
345,Ford,Torino,6/22/2016,86
346,Mitsubishi,Montero Sport,11/30/2012,
347,Chrysler,New Yorker,7/25/2018,89
348,Mitsubishi,Diamante,1/4/2011,17
349,Toyota,Paseo,4/28/2012,35
350,Mercury,Cougar,4/13/2010,18
351,GMC,Safari,1/15/2017,93
352,Volkswagen,Eurovan,10/5/2013,
353,Scion,xD,11/13/2011,21
354,Saab,9-5,3/8/2017,17
355,Chevrolet,Express 1500,8/7/2014,
356,Chevrolet,Camaro,3/20/2015,
357,Saab,900,8/26/2012,33
358,Nissan,Sentra,8/13/2017,79
359,Audi,A6,5/20/2012,89
360,Audi,Q7,1/22/2014,71
361,Isuzu,VehiCROSS,5/2/2010,
362,Porsche,Boxster,6/12/2011,51
363,Mitsubishi,Montero,3/5/2013,48
364,Dodge,Colt,5/9/2012,16
365,Dodge,Viper,1/8/2019,49
366,Buick,LeSabre,1/19/2015,25
367,Mitsubishi,Expo LRV,3/23/2012,57
368,Suzuki,Equator,9/29/2019,82
369,Hyundai,Tucson,10/3/2017,77
370,GMC,Envoy,9/28/2014,32
371,Jaguar,XJ Series,7/14/2015,44
372,Jaguar,X-Type,7/8/2012,
373,Buick,Coachbuilder,4/30/2013,
374,Mercedes-Benz,SLK-Class,5/14/2012,26
375,Lincoln,Town Car,3/27/2016,90
376,BMW,X5,4/12/2019,88
377,BMW,Alpina B7,1/20/2015,27
378,Toyota,Camry,8/5/2010,93
379,Mercedes-Benz,C-Class,10/12/2019,30
380,Ford,Thunderbird,8/9/2012,86
381,Oldsmobile,Silhouette,8/30/2016,54
382,Geo,Tracker,11/27/2018,37
383,Honda,S2000,7/30/2010,10
384,Rolls-Royce,Phantom,7/7/2010,30
385,Nissan,Frontier,1/18/2015,52
386,Lincoln,Continental,12/27/2018,
387,Chevrolet,Tahoe,10/26/2012,24
388,Ford,Econoline E150,6/2/2019,77
389,Maserati,228,11/28/2019,
390,Chevrolet,Silverado 3500,8/17/2014,100
391,Mercury,Mariner,11/1/2012,51
392,Buick,Century,8/7/2012,
393,Chevrolet,Suburban 1500,4/28/2016,20
394,BMW,M5,6/28/2016,81
395,Mercedes-Benz,M-Class,2/25/2015,83
396,Jeep,Grand Cherokee,2/18/2011,51
397,Lincoln,Town Car,10/17/2017,92
398,Mitsubishi,Truck,6/17/2015,59
399,Mitsubishi,Mighty Max Macro,5/30/2017,13
400,BMW,5 Series,4/2/2019,37
401,Dodge,Intrepid,2/12/2010,33
402,Plymouth,Voyager,2/8/2019,92
403,Isuzu,Ascender,2/1/2017,17
404,Dodge,Dakota,12/23/2017,
405,Mercedes-Benz,W201,3/25/2017,52
406,Volkswagen,Passat,12/25/2018,49
407,Aptera,Typ-1,9/12/2014,10
408,Chevrolet,Corvette,2/11/2011,58
409,Lincoln,MKT,9/5/2018,93
410,Dodge,Neon,8/8/2010,36
411,Chevrolet,S10 Blazer,11/27/2015,72
412,GMC,Yukon Denali,9/15/2012,34
413,Fiat,Nuova 500,3/23/2016,11
414,Chevrolet,HHR,2/13/2013,
415,Subaru,Outback,7/6/2012,54
416,Honda,Accord,2/12/2012,33
417,Suzuki,Swift,3/19/2017,29
418,Cadillac,DeVille,5/28/2011,68
419,Dodge,Stratus,9/9/2013,16
420,Dodge,Aries,6/23/2010,77
421,Ford,F250,7/18/2011,24
422,Ford,Focus,11/2/2011,
423,Ford,Crown Victoria,8/5/2015,79
424,Chevrolet,Tracker,1/3/2017,31
425,Lamborghini,Countach,3/4/2015,69
426,Nissan,Pathfinder,11/12/2017,39
427,BMW,M5,7/8/2016,67
428,Dodge,D350 Club,2/9/2014,
429,Toyota,Echo,12/18/2014,25
430,Buick,Coachbuilder,2/11/2017,
431,Pontiac,Grand Prix,2/27/2016,41
432,Lincoln,Town Car,4/1/2012,21
433,Dodge,Stratus,11/6/2019,94
434,Audi,80,2/16/2015,46
435,Infiniti,FX,1/21/2015,24
436,Geo,Tracker,9/11/2016,80
437,Volkswagen,Golf,8/18/2012,44
438,Mercedes-Benz,E-Class,6/20/2018,97
439,Chevrolet,Colorado,3/14/2011,90
440,Lexus,SC,12/16/2015,67
441,Pontiac,Grand Prix,8/1/2011,64
442,Isuzu,Amigo,9/2/2014,27
443,Mercedes-Benz,G-Class,12/9/2016,67
444,Ford,E250,9/19/2010,82
445,Mitsubishi,Lancer Evolution,1/14/2011,81
446,Dodge,Grand Caravan,7/26/2016,29
447,Jeep,Cherokee,9/21/2016,51
448,Nissan,Maxima,5/5/2010,58
449,GMC,Savana 2500,2/22/2011,31
450,Chevrolet,Camaro,8/25/2014,98
451,Hyundai,Tiburon,6/5/2017,24
452,Oldsmobile,LSS,11/11/2010,11
453,Chrysler,Town & Country,3/4/2011,11
454,Oldsmobile,LSS,4/1/2015,40
455,Mazda,RX-8,9/28/2015,32
456,BMW,M3,1/5/2012,
457,Audi,S4,7/28/2014,24
458,Chevrolet,S10 Blazer,7/17/2012,23
459,Chevrolet,HHR,7/24/2015,93
460,Volkswagen,Golf,2/16/2011,
461,Nissan,Xterra,3/13/2011,69
462,Plymouth,Voyager,5/14/2016,37
463,Buick,Riviera,11/14/2014,
464,Jaguar,XJ Series,8/12/2014,53
465,Lexus,IS,11/29/2014,97
466,Mitsubishi,Pajero,1/11/2019,45
467,Audi,A3,6/26/2017,31
468,Lincoln,Navigator,5/2/2016,26
469,Mercedes-Benz,SL-Class,7/13/2014,52
470,Mercury,Mystique,2/12/2012,12
471,GMC,Suburban 2500,1/8/2013,75
472,Chrysler,New Yorker,4/29/2012,
473,Dodge,Ram 1500,2/18/2010,31
474,Chevrolet,Express 2500,5/6/2018,57
475,Chevrolet,Suburban 1500,5/24/2017,32
476,Cadillac,XLR-V,8/12/2010,71
477,Jeep,Grand Cherokee,11/16/2018,98
478,Subaru,Impreza,7/17/2011,54
479,Chevrolet,Express 3500,10/29/2015,19
480,Mitsubishi,Galant,6/16/2013,24
481,Lincoln,Town Car,7/3/2011,14
482,Pontiac,Trans Sport,10/15/2010,49
483,Saturn,Aura,8/1/2019,78
484,Chevrolet,Corvair 500,12/5/2011,81
485,Jaguar,XJ Series,3/19/2015,18
486,Lexus,RX Hybrid,6/3/2012,47
487,Dodge,Avenger,9/22/2019,74
488,Chevrolet,Silverado 2500,9/21/2015,78
489,Buick,Lucerne,7/4/2019,32
490,Ford,Explorer Sport Trac,6/27/2017,
491,Chevrolet,3500,7/7/2012,14
492,Subaru,Legacy,11/28/2015,21
493,Chrysler,300M,8/22/2013,76
494,Chevrolet,Suburban 2500,9/7/2016,62
495,Chevrolet,Suburban 2500,1/18/2018,83
496,Kia,Spectra,1/15/2015,96
497,Chevrolet,Cavalier,7/4/2011,30
498,Dodge,Ram Van 2500,12/31/2019,
499,Dodge,Intrepid,5/19/2011,100
500,GMC,Savana,12/1/2011,10
501,Volkswagen,Passat,7/12/2011,
502,Mercedes-Benz,CL-Class,2/13/2013,84
503,Ford,Mustang,4/6/2016,44
504,Mitsubishi,Chariot,6/3/2019,
505,Ford,E-Series,3/23/2016,33
506,Chevrolet,Corvette,12/13/2011,12
507,Toyota,Land Cruiser,3/31/2017,66
508,Chevrolet,Suburban 1500,10/11/2019,86
509,Dodge,Ram 3500,2/7/2012,29
510,Saturn,L-Series,11/29/2019,36
511,Volvo,XC60,1/1/2013,69
512,Isuzu,Trooper,1/5/2011,79
513,GMC,Yukon,7/1/2014,12
514,Pontiac,Grand Prix,4/28/2010,
515,Honda,CR-V,2/19/2019,44
516,Toyota,Matrix,3/9/2011,
517,Hyundai,Tiburon,1/22/2011,90
518,Volkswagen,Jetta,3/7/2018,75
519,Dodge,Ram Wagon B150,12/28/2010,
520,Infiniti,G,6/11/2019,80
521,Isuzu,Rodeo Sport,9/11/2019,12
522,Volkswagen,Fox,9/7/2013,83
523,Nissan,Altima,12/3/2018,
524,Buick,Terraza,11/14/2010,23
525,Pontiac,Bonneville,3/11/2018,15
526,Daewoo,Leganza,8/11/2013,30
527,Mazda,B-Series Plus,12/28/2010,
528,Volkswagen,GTI,10/20/2019,51
529,GMC,Suburban 1500,6/5/2016,65
530,GMC,Sierra 1500,3/17/2015,21
531,GMC,Sonoma,10/25/2019,83
532,Chevrolet,Express 2500,6/14/2017,70
533,Isuzu,Rodeo,3/9/2016,96
534,Cadillac,SRX,3/24/2014,29
535,Hummer,H2,8/1/2019,48
536,Chevrolet,Beretta,9/28/2010,57
537,Chevrolet,G-Series 2500,6/17/2010,61
538,Mazda,626,5/8/2014,89
539,BMW,530,7/17/2011,45
540,BMW,530,10/3/2013,74
541,Pontiac,LeMans,8/13/2016,
542,Hyundai,Azera,11/2/2013,37
543,Mitsubishi,Pajero,7/4/2016,42
544,GMC,Rally Wagon 1500,11/15/2011,48
545,Mitsubishi,Pajero,5/5/2019,43
546,Chevrolet,Corvette,1/5/2019,98
547,Isuzu,Amigo,1/14/2014,37
548,Mercury,Sable,1/17/2019,80
549,Volkswagen,Eos,6/28/2017,37
550,Audi,TT,12/8/2017,38
551,Chevrolet,TrailBlazer,3/10/2011,32
552,Oldsmobile,Intrigue,7/14/2015,91
553,Dodge,Grand Caravan,10/22/2014,56
554,Suzuki,Daewoo Magnus,3/20/2019,19
555,Isuzu,i-290,12/30/2013,80
556,Dodge,Caravan,12/5/2014,22
557,Mercedes-Benz,E-Class,6/19/2010,41
558,Cadillac,Eldorado,11/20/2015,
559,Hyundai,XG350,11/20/2010,60
560,Audi,TT,6/22/2014,61
561,GMC,Envoy XL,7/19/2019,85
562,BMW,Z4,3/7/2019,55
563,Volkswagen,Golf,11/23/2015,20
564,Lincoln,Mark VIII,3/26/2019,83
565,Buick,Regal,6/9/2019,16
566,Audi,A7,9/1/2018,
567,Chevrolet,Cavalier,1/29/2016,52
568,Mitsubishi,Galant,8/16/2019,45
569,Panoz,Esperante,12/4/2015,69
570,Pontiac,GTO,12/28/2011,69
571,Buick,Skylark,9/17/2010,32
572,Audi,4000CS Quattro,7/24/2019,85
573,Hyundai,Santa Fe,1/30/2013,36
574,Mercury,Tracer,5/1/2015,63
575,Nissan,Maxima,12/2/2016,95
576,Pontiac,Vibe,4/12/2016,12
577,Dodge,Grand Caravan,3/9/2016,67
578,Chrysler,Town & Country,6/4/2014,19
579,Pontiac,Firefly,8/18/2015,63
580,Jaguar,XK,8/28/2016,20
581,Volkswagen,Jetta,12/24/2015,66
582,Buick,LeSabre,12/28/2012,
583,Acura,RL,11/3/2017,19
584,Ford,Explorer,7/15/2014,83
585,Mercedes-Benz,S-Class,5/20/2019,46
586,Hummer,H2,2/21/2012,20
587,Hyundai,Tiburon,2/27/2011,57
588,Infiniti,I,6/20/2012,64
589,GMC,Rally Wagon G3500,11/28/2014,49
590,Ford,Aspire,8/15/2015,67
591,Saab,9-5,4/27/2019,69
592,Mitsubishi,Endeavor,7/13/2016,86
593,Toyota,4Runner,1/4/2017,70
594,Ford,Econoline E350,10/5/2016,89
595,Chevrolet,Astro,1/13/2011,
596,Volvo,S40,9/11/2013,18
597,Lincoln,Town Car,12/23/2012,14
598,Chevrolet,TrailBlazer,12/18/2017,85
599,Lotus,Esprit,8/4/2019,48
600,Porsche,Boxster,2/28/2019,
601,Aston Martin,DB9,6/2/2018,23
602,Subaru,Forester,6/11/2018,
603,Dodge,Ram 3500,12/16/2010,12
604,Mazda,323,7/14/2016,10
605,Subaru,Loyale,3/2/2011,35
606,Mercedes-Benz,SLK-Class,12/25/2012,90
607,Lincoln,Continental Mark VII,2/11/2019,48
608,Mitsubishi,GTO,7/31/2010,76
609,Mercedes-Benz,SLK-Class,10/23/2016,24
610,Porsche,Cayman,9/30/2019,56
611,Suzuki,Aerio,8/13/2014,92
612,Toyota,Celica,6/29/2012,58
613,Porsche,Cayenne,11/7/2012,84
614,Infiniti,QX56,11/3/2013,33
615,Mazda,626,8/9/2013,
616,BMW,X5,7/29/2012,
617,Audi,Coupe GT,12/31/2019,44
618,Toyota,Tacoma Xtra,8/17/2014,38
619,Alfa Romeo,164,12/4/2016,82
620,Jeep,Patriot,8/5/2012,52
621,GMC,Vandura 1500,7/21/2018,18
622,Ford,Taurus,8/1/2017,
623,Pontiac,Trans Sport,12/31/2010,
624,Ford,F350,3/10/2014,81
625,BMW,7 Series,3/2/2013,47
626,Nissan,240SX,7/31/2012,
627,Ford,Expedition,7/7/2010,42
628,Mercury,Cougar,10/4/2013,82
629,Mercedes-Benz,SL-Class,12/12/2014,21
630,Land Rover,Discovery,3/3/2012,57
631,Volvo,850,4/19/2018,99
632,Buick,Reatta,9/23/2011,70
633,Porsche,928,4/17/2016,43
634,Mazda,626,5/23/2017,50
635,Oldsmobile,Cutlass Supreme,10/13/2013,13
636,Mercury,Grand Marquis,9/22/2015,54
637,GMC,Jimmy,12/9/2011,56
638,Chevrolet,TrailBlazer,8/22/2013,
639,Pontiac,Solstice,2/28/2012,46
640,Aston Martin,Vantage,5/19/2010,27
641,BMW,M3,10/8/2014,91
642,Mercedes-Benz,G-Class,3/11/2018,33
